title,rating,year,actors,languages,runtime,url
Freaks,7.9,1932,Wallace Ford;Leila Hyams;Olga Baclanova;Roscoe Ates,English;German;French,64,https://www.imdb.com//title/tt0022913/
Trouble in Paradise (De firma Adam & Eva),8.0,1932,Miriam Hopkins;Kay Francis;Herbert Marshall;Charles Ruggles,English;Italian;French;Russian;Spanish;German,83,https://www.imdb.com//title/tt0023622/
King Kong,7.9,1933,Ernest B. Schoedsack;Fay Wray;Robert Armstrong;Bruce Cabot;Frank Reicher,English,100,https://www.imdb.com//title/tt0024216/
De onzichtbare man,7.7,1933,Claude Rains;Gloria Stuart;William Harrigan;Henry Travers,English,71,https://www.imdb.com//title/tt0024184/
Das Testament des Dr. Mabuse,8.0,1933,Rudolf Klein-Rogge;Otto Wernicke;Thomy Bourdelle;Gustav Diessl,German;French,122,https://www.imdb.com//title/tt0023563/
Gold Diggers of 1933,7.7,1933,Warren William;Joan Blondell;Aline MacMahon;Ruby Keeler,English,97,https://www.imdb.com//title/tt0024069/
De dictator,7.8,1933,Groucho Marx;Harpo Marx;Chico Marx;Zeppo Marx,English,69,https://www.imdb.com//title/tt0023969/
The Gay Divorcee,7.5,1934,Fred Astaire;Ginger Rogers;Alice Brady;Edward Everett Horton,English;French;Italian,107,https://www.imdb.com//title/tt0025164/
L'Atalante,7.8,1934,Dita Parlo;Jean Dasté;Gilles Margaritis;Louis Lefebvre,French;Russian,89,https://www.imdb.com//title/tt0024844/
Tsarina van Rusland,7.6,1934,Marlene Dietrich;John Lodge;Sam Jaffe;Louise Dresser,English,104,https://www.imdb.com//title/tt0025746/
The Thin Man,8.0,1934,William Powell;Myrna Loy;Maureen O'Sullivan;Nat Pendleton,English,91,https://www.imdb.com//title/tt0025878/
Het gebeurde op 'n avond,8.1,1934,Clark Gable;Claudette Colbert;Walter Connolly;Roscoe Karns,English,105,https://www.imdb.com//title/tt0025316/
Bride of Frankenstein,7.8,1935,Boris Karloff;Elsa Lanchester;Colin Clive;Valerie Hobson,English,75,https://www.imdb.com//title/tt0026138/
A Tale of Two Cities,7.8,1935,Robert Z. Leonard;Ronald Colman;Elizabeth Allan;Edna May Oliver;Reginald Owen,English,128,https://www.imdb.com//title/tt0027075/
Top Hat,7.8,1935,Fred Astaire;Ginger Rogers;Edward Everett Horton;Erik Rhodes,English;Italian,101,https://www.imdb.com//title/tt0027125/
A Night at the Opera,7.9,1935,Edmund Goulding;Groucho Marx;Chico Marx;Harpo Marx;Kitty Carlisle,English;Italian,96,https://www.imdb.com//title/tt0026778/
