title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Network,121,Drama,Sidney Lumet,Paddy Chayefsky,Faye Dunaway;William Holden;Peter Finch,8.2,73485
Million Dollar Baby,132,Drama;Sport,Clint Eastwood,Paul Haggis;F.X. Toole,Hilary Swank;Clint Eastwood;Morgan Freeman,8.1,324609
There Will Be Blood,158,Drama,Paul Thomas Anderson,Paul Thomas Anderson;Upton Sinclair,Daniel Day-Lewis;Paul Dano;Ciarán Hinds,8.1,265904
The Terminator,107,Action;Sci-Fi,James Cameron,James Cameron;Gale Anne Hurd,Arnold Schwarzenegger;Linda Hamilton;Michael Biehn,8.1,402288
Ben Hur,212,Adventure;Drama,William Wyler,Lew Wallace;Karl Tunberg,Charlton Heston;Jack Hawkins;Stephen Boyd,8.2,112412
Stand by Me,89,Adventure;Drama,Rob Reiner,Stephen King;Raynold Gideon,Wil Wheaton;River Phoenix;Corey Feldman,8.2,192858
The King's Speech,118,Biography;Drama;History,Tom Hooper,David Seidler,Colin Firth;Geoffrey Rush;Helena Bonham Carter,8.1,313714
Twelve Monkeys,129,Mystery;Sci-Fi;Thriller,Terry Gilliam,Chris Marker;David Webb Peoples,Bruce Willis;Madeleine Stowe;Brad Pitt,8.1,334561
Les quatre cents coups,99,Crime;Drama,François Truffaut,François Truffaut;Marcel Moussy,Jean-Pierre Léaud;Albert Rémy;Claire Maurier,8.2,48592
Groundhog Day,101,Comedy;Drama;Fantasy,Harold Ramis,Danny Rubin;Harold Ramis,Bill Murray;Andie MacDowell;Chris Elliott,8.1,299779
The Night of the Hunter,93,Crime;Drama;Film-Noir,Charles Laughton;Robert Mitchum,Davis Grubb;James Agee,Robert Mitchum;Shelley Winters;Lillian Gish,8.2,46546
Hauru no ugoku shiro,119,Animation;Adventure;Family,Hayao Miyazaki,Hayao Miyazaki;Diana Wynne Jones,Chieko Baishô;Takuya Kimura;Tatsuya Gashûin,8.2,130998
The Big Sleep,114,Crime;Film-Noir;Mystery,Howard Hawks,William Faulkner;Leigh Brackett,Humphrey Bogart;Lauren Bacall;John Ridgely,8.1,48936
Amores perros,154,Drama;Thriller,Alejandro González Iñárritu,Guillermo Arriaga,Emilio Echevarría;Gael García Bernal;Goya Toledo,8.2,127194
Donnie Darko,113,Drama;Mystery;Sci-Fi,Richard Kelly,Richard Kelly,Jake Gyllenhaal;Jena Malone;Mary McDonnell,8.2,420129
A Beautiful Mind,135,Biography;Drama,Ron Howard,Akiva Goldsman;Sylvia Nasar,Russell Crowe;Ed Harris;Jennifer Connelly,8.2,375573
Mary and Max,92,Animation;Comedy;Drama,Adam Elliot,Adam Elliot,Toni Collette;Philip Seymour Hoffman;Eric Bana,8.2,73976
Gandhi,191,Biography;Drama;History,Richard Attenborough,John Briley,Ben Kingsley;John Gielgud;Candice Bergen,8.1,118125
Dog Day Afternoon,125,Crime;Drama,Sidney Lumet,P.F. Kluge;Thomas Moore,Al Pacino;John Cazale;Penelope Allen,8.1,134042
The Bourne Ultimatum,115,Action;Crime;Thriller,Paul Greengrass,Tony Gilroy;Scott Z. Burns,Matt Damon;Édgar Ramírez;Joan Allen,8.1,341874
The Killing,85,Crime;Film-Noir;Thriller,Stanley Kubrick,Stanley Kubrick;Jim Thompson,Sterling Hayden;Coleen Gray;Vince Edwards,8.1,46603
The Graduate,106,Comedy;Drama;Romance,Mike Nichols,Calder Willingham;Buck Henry,Dustin Hoffman;Anne Bancroft;Katharine Ross,8.1,157401
Persona,85,Drama;Mystery;Thriller,Ingmar Bergman,Ingmar Bergman,Bibi Andersson;Liv Ullmann;Margaretha Krook,8.2,39167
The Princess Bride,98,Adventure;Comedy;Family,Rob Reiner,William Goldman;William Goldman,Cary Elwes;Mandy Patinkin;Robin Wright,8.2,217603
The Hustler,134,Drama;Sport,Robert Rossen,Sidney Carroll;Robert Rossen,Paul Newman;Jackie Gleason;Piper Laurie,8.1,45836
Black Swan,108,Drama;Mystery;Thriller,Darren Aronofsky,Mark Heyman;Andres Heinz,Natalie Portman;Mila Kunis;Vincent Cassel,8.1,399963
Before Midnight,109,Drama;Romance,Richard Linklater,Richard Linklater;Julie Delpy,Ethan Hawke;Julie Delpy;Seamus Davey-Fitzpatrick,8.1,44270
Rocky,119,Drama;Sport,John G. Avildsen,Sylvester Stallone,Sylvester Stallone;Talia Shire;Burt Young,8.1,236064
Who's Afraid of Virginia Woolf?,131,Drama,Mike Nichols,Ernest Lehman,Elizabeth Taylor;Richard Burton;George Segal,8.2,40153
In the Name of the Father,133,Biography;Drama;Thriller,Jim Sheridan,Gerry Conlon;Terry George,Daniel Day-Lewis;Pete Postlethwaite;Alison Crosbie,8.2,71533
The Exorcist,122,Horror,William Friedkin,William Peter Blatty;William Peter Blatty,Ellen Burstyn;Max von Sydow;Linda Blair,8.0,226463
The Man Who Shot Liberty Valance,123,Western,John Ford,James Warner Bellah;Willis Goldbeck,James Stewart;John Wayne;Vera Miles,8.1,42158
Anatomy of a Murder,160,Crime;Drama;Mystery,Otto Preminger,Wendell Mayes;John D. Voelker,James Stewart;Lee Remick;Ben Gazzara,8.1,34272
La Strada,108,Drama,Federico Fellini,Federico Fellini;Tullio Pinelli,Anthony Quinn;Giulietta Masina;Richard Basehart,8.2,34159
Fanny och Alexander,188,Drama,Ingmar Bergman,Ingmar Bergman,Bertil Guve;Pernilla Allwin;Börje Ahlstedt,8.2,29246
8½,138,Drama;Fantasy,Federico Fellini,Federico Fellini;Ennio Flaiano,Marcello Mastroianni;Anouk Aimée;Claudia Cardinale,8.2,56998
Slumdog Millionaire,120,Drama;Romance;Thriller,Danny Boyle;Loveleen Tandan,Simon Beaufoy;Vikas Swarup,Dev Patel;Freida Pinto;Saurabh Shukla,8.1,455903
The Manchurian Candidate,126,Mystery;Thriller,John Frankenheimer,Richard Condon;George Axelrod,Frank Sinatra;Laurence Harvey;Janet Leigh,8.1,54958
Mou gaan dou,101,Crime;Mystery;Thriller,Wai-keung Lau;Alan Mak,Alan Mak;Felix Chong,Andy Lau;Tony Leung Chiu Wai;Anthony Wong Chau-Sang,8.2,67050
"Monsters, Inc.",92,Animation;Adventure;Comedy,Pete Docter;David Silverman,Pete Docter;Jill Culton,Billy Crystal;John Goodman;Mary Gibbs,8.1,360399
Stalag 17,120,Comedy;Drama;War,Billy Wilder,Billy Wilder;Edwin Blum,William Holden;Don Taylor;Otto Preminger,8.2,35013
Barry Lyndon,184,Adventure;Drama;Romance,Stanley Kubrick,Stanley Kubrick;William Makepeace Thackeray,Ryan O'Neal;Marisa Berenson;Patrick Magee,8.1,72906
Rope,80,Crime;Drama;Thriller,Alfred Hitchcock,Hume Cronyn;Patrick Hamilton,James Stewart;John Dall;Farley Granger,8.1,70116
The Truman Show,103,Comedy;Drama;Sci-Fi,Peter Weir,Andrew Niccol,Jim Carrey;Ed Harris;Laura Linney,8.0,440949
Life of Pi,127,Adventure;Drama;Fantasy,Ang Lee,Yann Martel;David Magee,Suraj Sharma;Irrfan Khan;Adil Hussain,8.1,286299
Roman Holiday,118,Comedy;Drama;Romance,William Wyler,Dalton Trumbo;Ian McLellan Hunter,Gregory Peck;Audrey Hepburn;Eddie Albert,8.1,67598
Pirates of the Caribbean: The Curse of the Black Pearl,143,Action;Adventure;Fantasy,Gore Verbinski,Ted Elliott;Terry Rossio,Johnny Depp;Geoffrey Rush;Orlando Bloom,8.1,556626
The Wild Bunch,145,Western,Sam Peckinpah,Walon Green;Sam Peckinpah,William Holden;Ernest Borgnine;Robert Ryan,8.1,53002
Salinui chueok,130,Crime;Drama;Mystery,Joon-ho Bong,Joon-ho Bong;Kwang-rim Kim,Kang-ho Song;Sang-kyung Kim;Roe-ha Kim,8.1,37477
3 Idiots,170,Comedy;Drama;Romance,Rajkumar Hirani,Rajkumar Hirani;Abhijit Joshi,Aamir Khan;Madhavan;Mona Singh,8.5,96762
Per un pugno di dollari,99,Western,Sergio Leone,Adriano Bolzoni;Víctor Andrés Catena,Clint Eastwood;Gian Maria Volonté;Marianne Koch,8.1,88931
All Quiet on the Western Front,136,Drama;War,Lewis Milestone,Erich Maria Remarque;Maxwell Anderson,Lew Ayres;Louis Wolheim;John Wray,8.1,39870
Jurassic Park,127,Adventure;Sci-Fi,Steven Spielberg,Michael Crichton;Michael Crichton,Sam Neill;Laura Dern;Jeff Goldblum,8.0,366746
Incendies,139,Drama;Mystery;War,Denis Villeneuve,Valérie Beaugrand-Champagne;Wajdi Mouawad,Lubna Azabal;Mélissa Désormeaux-Poulin;Maxim Gaudette,8.2,42671
Harry Potter and the Deathly Hallows: Part 2,130,Adventure;Fantasy;Mystery,David Yates,Steve Kloves;J.K. Rowling,Daniel Radcliffe;Emma Watson;Rupert Grint,8.1,333910
Sleuth,138,Mystery;Thriller,Joseph L. Mankiewicz,Anthony Shaffer;Anthony Shaffer,Laurence Olivier;Michael Caine;Alec Cawthorne,8.1,31858
Star Trek: The Future Begins,127,Action;Adventure;Sci-Fi,J.J. Abrams,Roberto Orci;Alex Kurtzman,Chris Pine;Zachary Quinto;Simon Pegg,8.1,389827
Shutter Island,138,Drama;Mystery;Thriller,Martin Scorsese,Laeta Kalogridis;Dennis Lehane,Leonardo DiCaprio;Emily Mortimer;Mark Ruffalo,8.1,476308
Yip Man,106,Action;Biography;Drama,Wilson Yip,Edmond Wong;Chan Tai-Li,Donnie Yen;Simon Yam;Siu-Wong Fan,8.1,96812
Le scaphandre et le papillon,112,Biography;Drama,Julian Schnabel,Ronald Harwood;Jean-Dominique Bauby,Mathieu Amalric;Emmanuelle Seigner;Marie-Josée Croze,8.1,73819
Tramlijn Begeerte,122,Drama,Elia Kazan,Tennessee Williams;Oscar Saul,Vivien Leigh;Marlon Brando;Kim Hunter,8.1,63177
Ratatouille,111,Animation;Comedy;Family,Brad Bird;Jan Pinkava,Brad Bird;Jan Pinkava,Brad Garrett;Lou Romano;Patton Oswalt,8.0,334632
Kaze no tani no Naushika,117,Animation;Action;Adventure,Hayao Miyazaki,Hayao Miyazaki;Hayao Miyazaki,Sumi Shimamoto;Mahito Tsujimura;Hisako Kyôda,8.2,57712
Stalker,163,Drama;Sci-Fi,Andrei Tarkovsky,Arkadiy Strugatskiy;Boris Strugatskiy,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn,8.2,46212
Rain Man,133,Drama,Barry Levinson,Barry Morrow;Ronald Bass,Dustin Hoffman;Tom Cruise;Valeria Golino,8.0,299258
Prisoners,153,Crime;Drama;Thriller,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman;Jake Gyllenhaal;Viola Davis,8.1,148083
La haine,98,Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel;Hubert Koundé;Saïd Taghmaoui,8.1,69508
District 9,112,Action;Sci-Fi;Thriller,Neill Blomkamp,Neill Blomkamp;Terri Tatchell,Sharlto Copley;David James;Jason Cope,8.0,409105
De Hobbit: Een onverwachte reis,169,Adventure;Fantasy,Peter Jackson,Fran Walsh;Philippa Boyens,Martin Freeman;Ian McKellen;Richard Armitage,8.1,423009
Bringing Up Baby,102,Comedy;Romance,Howard Hawks,Dudley Nichols;Hagar Wilde,Katharine Hepburn;Cary Grant;Charles Ruggles,8.1,37048
Before Sunrise,105,Drama;Romance,Richard Linklater,Richard Linklater;Kim Krizan,Ethan Hawke;Julie Delpy;Andrea Eckert,8.1,113656
Trois couleurs: Rouge,99,Drama;Mystery;Romance,Krzysztof Kieslowski,Krzysztof Kieslowski;Krzysztof Piesiewicz,Irène Jacob;Jean-Louis Trintignant;Frédérique Feder,8.1,46226
Belle en het Beest,84,Animation;Family;Fantasy,Gary Trousdale;Kirk Wise,Linda Woolverton;Roger Allers,Paige O'Hara;Robby Benson;Richard White,8.1,200889
Festen,105,Drama,Thomas Vinterberg,Thomas Vinterberg;Mogens Rukov,Ulrich Thomsen;Henning Moritzen;Thomas Bo Larsen,8.2,50790
Rosemary's Baby,136,Drama;Horror;Mystery,Roman Polanski,Ira Levin;Roman Polanski,Mia Farrow;John Cassavetes;Ruth Gordon,8.0,108887
Tenkû no shiro Rapyuta,124,Animation;Action;Adventure,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin;James Van Der Beek;Cloris Leachman,8.1,58589
Fa yeung nin wa,98,Drama;Romance,Kar Wai Wong,Kar Wai Wong,Tony Leung Chiu Wai;Maggie Cheung;Ping Lam Siu,8.1,53304
